FID,OID,lat,lon
689,0,36.625,103.875
690,0,36.625,104.125
691,0,36.625,104.375
692,0,36.625,104.625
693,0,36.625,104.875
694,0,36.625,105.125
695,0,36.625,105.375
696,0,36.625,105.625
697,0,36.625,105.875
698,0,36.625,106.125
699,0,36.625,106.375
700,0,36.625,106.625
701,0,36.625,106.875
702,0,36.625,107.125
703,0,36.625,107.375
704,0,36.625,107.625
705,0,36.625,107.875
706,0,36.625,108.125
707,0,36.625,108.375
708,0,36.625,108.625
709,0,36.625,108.875
710,0,36.625,109.125
711,0,36.625,109.375
712,0,36.625,109.625
713,0,36.625,109.875
714,0,36.625,110.125
715,0,36.625,110.375
716,0,36.625,110.625
717,0,36.625,110.875
718,0,36.625,111.125
719,0,36.625,111.375
